GENESIS-Tabelle: 14335-01-03-4
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
14.05.2017;05154;    Kleve, Kreis;226567;64,9;145719;61145;40274;7230;18926;4797;8241;5106
14.05.2017;05158;    Mettmann, Kreis;368121;68,3;249115;85153;70673;14243;38639;10238;19176;10993
14.05.2017;05162;    Rhein-Kreis Neuss;333571;67,6;223448;82724;59069;11616;37139;7580;15324;9996
14.05.2017;05166;    Viersen, Kreis;227599;66,1;148971;56718;40821;7918;23218;5492;8816;5988
14.05.2017;05170;    Wesel, Kreis;357650;67,5;238646;73982;84634;11601;27610;11112;18766;10941
14.05.2017;053;  Köln, Regierungsbezirk;3236887;66,7;2135991;708436;608672;166201;296960;113892;143207;98623
14.05.2017;05314;    Bonn, kreisfreie Stadt;226008;68,4;153317;47484;38911;16811;24612;10104;8578;6817
14.05.2017;05315;    Köln, kreisfreie Stadt;729833;64,9;470246;124847;132174;55534;64916;39510;28069;25196
14.05.2017;05316;    Leverkusen, kreisfreie Stadt;116380;63,7;73262;23062;22675;4481;9389;3433;6109;4113
14.05.2017;05334;    Städteregion Aachen (einschl. Stadt Aachen);404228;67,6;270212;81817;88944;20825;35229;14763;15955;12679
14.05.2017;05334002;    Aachen, krfr. Stadt;176721;69,3;121397;34049;34421;13792;18124;9031;5656;6324
14.05.2017;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-;-;-
14.05.2017;05358;    Düren, Kreis;199565;65,3;128591;46180;41101;6334;14595;4920;9852;5609
14.05.2017;05362;    Rhein-Erft-Kreis;344567;67,2;229008;78379;70749;12702;30531;8994;17875;9778
14.05.2017;05366;    Euskirchen, Kreis;149814;64,1;94834;37002;25362;4800;13209;3369;7444;3648
14.05.2017;05370;    Heinsberg, Kreis;189867;64,6;120753;49293;33985;5864;13645;4367;8038;5561
14.05.2017;05374;    Oberbergischer Kreis;208014;64,4;132226;50897;36433;6886;16989;5287;9996;5738
14.05.2017;05378;    Rheinisch-Bergischer Kreis;216868;71,4;153813;54945;39333;11413;25976;6153;9829;6164
14.05.2017;05382;    Rhein-Sieg-Kreis;451743;69,4;309729;114530;79005;20551;47869;12992;21462;13320
14.05.2017;055;  Münster, Regierungsbezirk;1968822;66,5;1296224;468552;412776;76200;144127;53282;88791;52496
14.05.2017;05512;    Bottrop, kreisfreie Stadt;88445;66,8;58346;16031;22215;2291;5545;2517;6422;3325
14.05.2017;05513;    Gelsenkirchen, kreisfreie Stadt;176670;58,0;101035;23262;38278;3910;9259;5057;14739;6530
14.05.2017;05515;    Münster, kreisfreie Stadt;231754;72,2;166251;52643;46364;20723;22489;11433;6181;6418
14.05.2017;05554;    Borken, Kreis;277372;68,6;188470;89546;49714;8561;21797;4713;8648;5491
14.05.2017;05558;    Coesfeld, Kreis;172843;71,6;122635;53097;33449;7504;15786;3676;5492;3631
14.05.2017;05562;    Recklinghausen, Kreis;473080;63,5;297285;87905;109083;12451;29605;13508;29638;15095
14.05.2017;05566;    Steinfurt, Kreis;339186;65,9;221446;89150;71424;12878;23102;7704;9973;7215
14.05.2017;05570;    Warendorf, Kreis;209472;68,0;140756;56918;42249;7882;16544;4674;7698;4791
14.05.2017;057;  Detmold, Regierungsbezirk;1544303;63,5;970399;334736;307390;64159;108457;46121;67022;42514
14.05.2017;05711;    Bielefeld, kreisfreie Stadt;237287;65,2;153144;40883;49383;15066;16949;12823;10337;7703
14.05.2017;05754;    Gütersloh, Kreis;262562;64,8;168295;63813;50697;11489;19629;6199;10062;6406
14.05.2017;05758;    Herford, Kreis;191837;61,2;115982;36032;42192;7102;11877;5017;8964;4798
14.05.2017;05762;    Höxter, Kreis;112910;65,7;73295;33293;19368;3190;8025;2357;4651;2411
14.05.2017;05766;    Lippe, Kreis;269184;63,6;169233;50050;59852;10189;19491;7115;12470;10066
14.05.2017;05770;    Minden-Lübbecke, Kreis;241610;60,7;145080;47386;52308;8273;15211;5895;10544;5463
14.05.2017;05774;    Paderborn, Kreis;228913;64,2;145370;63279;33590;8850;17275;6715;9994;5667
14.05.2017;059;  Arnsberg, Regierungsbezirk;2678579;64,0;1695168;527475;581257;92078;188881;83581;137182;84714
14.05.2017;05911;    Bochum, kreisfreie Stadt;274050;65,4;177375;44818;62641;12804;18282;13225;15407;10198
14.05.2017;05913;    Dortmund, kreisfreie Stadt;415351;62,0;255142;62054;94036;18640;26253;17130;21175;15854
14.05.2017;05914;    Hagen, kreisfreie Stadt;133010;60,2;79204;23116;27340;3525;8925;3654;8236;4408
14.05.2017;05915;    Hamm, kreisfreie Stadt;126970;63,0;79187;23545;31276;3342;7198;3429;6713;3684
14.05.2017;05916;    Herne, kreisfreie Stadt;112340;59,2;65618;15527;25742;3103;6054;3510;7423;4259
14.05.2017;05954;    Ennepe-Ruhr-Kreis;253394;66,7;167160;45896;60094;10575;20738;8435;12801;8621
14.05.2017;05958;    Hochsauerlandkreis;203390;66,4;133526;60360;35023;4893;16177;4004;7891;5178
14.05.2017;05962;    Märkischer Kreis;304934;61,3;185106;64034;59348;7550;22256;7353;16181;8384
14.05.2017;05966;    Olpe, Kreis;102799;66,5;67663;33438;16133;2201;8434;1630;3577;2250
14.05.2017;05970;    Siegen-Wittgenstein, Kreis;212986;65,0;136908;46726;44857;6931;15079;6128;11268;5919
14.05.2017;05974;    Soest, Kreis;232327;65,3;150162;53925;47501;7684;18971;6279;10414;5388
14.05.2017;05978;    Unna, Kreis;307028;65,2;198117;54036;77266;10830;20514;8804;16096;10571
__________
"zu ""CDU/CSU"":
CSU nur in Bayern
 
zu ""Gültige Stimmen"":
ab 2010 Zweitstimmen"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:23:32
